archetype,note
官杀男,典型官杀男，遵从规则，严于律己，理想主义，极端守序，智力可能会高，但脑子多少有点死性。会很容易因为上述性格特质成为成功、优秀、令人尊敬的人，但也经常因此把自己逼到墙角。
变种：社畜牛马命苦男妈妈,社会化很好的官杀男，在坚守自己的同时能够体谅他人，比官杀男要柔韧很多，代价就是经常会在局中被挤成尴尬的老好人（其实他们很有原则）。会微妙地有些喜剧感，尤其是对于男角色来说。
变种：协助作恶者,同样是官杀基底，但眼界过窄、情商过低，导致他们对秩序和权威的服从压倒了人性，成为被体系异化和磋磨的一部分。想要归顺体系的人，往往最后也死于体系本身。
变种：高洁堕落者,纠结了一下沙威算协助作恶还是高洁堕落，感觉还是高洁堕落比较多一些。这一类人很大程度上是被命运玩弄，当他们所信服的东西背叛了他们，他们便无法抗拒地走向自我的毁灭。
炽烈真诚野性大傻子,每个人都会想要的酒友，日常生活中会给你带来无限的烦恼，但只要他在，你就能感受到一阵荒野吹来的不羁的风。说他们大傻子并不是恶评，而是他们的诚挚注定无法与现代社会相容。
女性变种：打女，不服咔咔就是干,女性限定，因为在真诚野性的同时加上了更多更大的压力，所以复仇系打女很多都拥有幼狮般的眼神，当社会不可能接纳她们，她们就用手撕出一条路。坚定然而单薄，社会化程度比较低，是有点少女哪吒的味道。一般只会出现在一定时段。
变种：克制忠仆骑士,大傻子原型的内敛版本，和官杀类的区别就是他们的主动性相对比较低，视野相对比较窄，比起天下、理想、社会，他们更想保护好眼前自己珍重的人。永远不会是叙事中心，但总会让人心疼。
明亮自信伤官浪子,官杀男永远的好CP，我永远坚定的第二xp。和大傻子的区别就在于他们不傻，他们是见过丑陋也经历过磋磨，仍然选择把酒放歌的一群人。内核稳定，大气敞亮，有让每个人都在他们的场子里感到自在的能力。
变种：Trickstar,比起伤官浪子更轻盈也更顽皮的一类人，经常以双子或双人组的方式出现，符号化相对比较强。喜欢搞事、喜欢热闹、喜欢欢笑，群戏里没有他们会变得很无聊。
变种：狂气大叔,伤官浪子们在30岁以后见过丑陋和磋磨的十几年之后变成的模样，会不再在意很多面上的东西，更加随性洒脱、放浪不羁，坏习惯也相对多一点，但非常自洽和坦然。只在必要的时候靠谱。
女性变种：有意的性感尤物,“圣女与荡妇”之中的荡妇，但在现代的诠释里往往会利用自己的性感来达成自己的目的，而这并不与她们有脑子、有计划、有梦想相冲突。最典型的是双峰里的Audrey，而她们往往需要付出额外的努力来证明自己。归根结底，最近的路往往最远，而她们必须学会使用除了性感以外的东西来走得更远。
女性变种2：攻击性（对内对外异常的毁灭感和死本能）,阁楼上的疯女人，女性情绪力量爆发的巅峰，混乱、失控、攻击、死亡，在荒诞的世界存活就要和荒诞一起大笑。疯狂是她们的通行证，也是她们的墓志铭。她们得以存活，也因此而死。但总要有人喊出这世界有多荒诞。
阴郁雨中自毁大狗狗,他们的世界下过一场雨，从此他们再也没从那场雨里走出来。他们经历过糟糕的事情，见过死亡与背叛，见过自己梦想的破碎，羞耻与罪恶从此在他们的心底扎根，他们不断质疑自己为什么还活着，但他们的确还活着。他们拖着自己，一步一步向前走。
淋过雨后甩干还是好狗狗,他们的世界也下过一场雨，但他们拼尽全力往前跑，终于跑出了那场雨。他们比雨中大狗更坚定、更勇敢，也是因为某种灵魂上的轻盈，让他们带着过去的伤痛和错误，却仍能怀抱希望去追逐下一个日出。
变种：腹黑温雅助攻男二（出门面美人）,他们的世界也下过一场雨，但他们回到雨里，给其他人打伞。他们见过糟糕的事情，因此理解灰色、进入灰色、安于灰色，常常后退一步站在局边，只在必要的时候伸手翻转棋局。在其他时候，他们更喜欢身居事外，观棋不语。
疯癫的贤者,比起阁楼上的疯女人攻击力低了很多，也不像自我流放者那样拒绝。他们只是游离于叙事之外，但不忍往往让他们即使看得再清楚也要再次入局。他们不在乎世俗标准，会活出最自我的样子，常常令人非常不习惯，但他们不在乎。因为他们说的疯话永远会实现。
变种：反讽型叙事者 / 观察者,比起疯癫贤者来说，他们的反讽更像一种自我保护，在声称自己不在乎、声称自己看得清，声称这一切有多好笑，但这些只体现出他们横跨局中局外，进不去又出不来。他们舌灿莲花操纵叙事，但往往除了这些以外身无凭依，以此掩盖自己的孤独。
大母神,母性、庇护、滋养，但并不等于温顺，相反在需要的时候有着巨大的土地力量，包容万物、生养万物，也能吞噬万物。地势坤，君子以厚德载物。太常见了不解释。
变种（预备）：明亮正向晨间剧女主，野草型,太常见了，千禧年代偶像剧必备，带着一股经济上行时代的希望感。干净，清澈，像一根野草一样无论来自什么样的过去，都能坚韧地开出花来。比起甩干小狗要更柔软，多一点理想主义的天真，让人想要守护，也让人相信她们可以面对风雨，闯过风浪。
反叛/自我流放者,比起打女要更决绝的一批人，打女还跟你打，他们直接不玩了。他们对世界有着最强烈的拒绝，万物皆为刍狗，权威、亲友、自己，皆是如此。与其身陷污泥，不如转身离去。
彼得潘,在这里是轻微贬义（但很可爱）。情绪价值拉满，要干活儿的时候永远找不着他们。柔软、浪漫、甜美，但一切都被封在成年之前（主动或被动），像是一场夏日的幻梦，温柔精致但屁用没有，这就是传说中的男人至死是少年吧！