archetype,x,y,masc,parent,x2,y2
官杀男,100,90,0.5,,60,65
变种：社畜牛马命苦男妈妈,50,50,0.8,官杀男,35,20
变种：协助作恶者,0,-20,0.5,官杀男,-35,-50
变种：高洁堕落者,30,-30,0.5,官杀男,60,-40
炽烈真诚野性大傻子,100,50,0.8,,-50,80
女性变种：打女，不服咔咔就是干,100,-30,0,炽烈真诚野性大傻子,-60,70
变种：克制忠仆骑士,-60,30,0.9,炽烈真诚野性大傻子,60,80
明亮自信伤官浪子,80,30,0.5,,-20,60
变种：Trickstar,100,-75,0.5,明亮自信伤官浪子,-80,-90
变种：狂气大叔,70,-30,1,明亮自信伤官浪子,70,-75
女性变种：有意的性感尤物,40,-50,0,明亮自信伤官浪子,-30,-90
女性变种2：攻击性（对内对外异常的毁灭感和死本能）,100,-100,0,明亮自信伤官浪子,80,-90
阴郁雨中自毁大狗狗,-40,-20,0.5,,80,-30
淋过雨后甩干还是好狗狗,40,20,0.5,阴郁雨中自毁大狗狗,20,30
变种：腹黑温雅助攻男二（出门面美人）,-30,0,0.6,阴郁雨中自毁大狗狗,-30,20
疯癫的贤者,-50,-100,0.3,,-90,35
变种：反讽型叙事者 / 观察者,0,-80,0.5,疯癫的贤者,75,0
大母神,0,50,0,,0,-30
变种（预备）：明亮正向晨间剧女主，野草型,75,70,0,大母神,-50,90
反叛/自我流放者,50,-100,0.5,,-20,30
彼得潘,-90,0,0.7,,-95,95